year;state_name;prom_crimenes
1990;alabama;36109.818181818184
1990;minnesota;36104.90909090909
1984;arizona;36077.454545454544
1985;tennessee;36076.181818181816
2013;south carolina;36072.756993006995
1994;minnesota;36046.0
2015;indiana;36024.79942279943
2001;massachusetts;35940.12059683126
2004;colorado;35900.027272727275
1989;south carolina;35881.454545454544
1996;wisconsin;35853.15644820296
1987;oklahoma;35847.09090909091
1993;colorado;35835.00153217569
2005;alabama;35831.09090909091
2016;indiana;35702.47257383966
1986;wisconsin;35642.0
1987;minnesota;35633.818181818184
2002;colorado;35626.09185606061
1996;colorado;35579.64935064936
2011;maryland;35576.62152133581
2003;colorado;35540.01797040169
1979;colorado;35537.454545454544
2003;massachusetts;35441.2144638404
1980;minnesota;35439.63636363636
2019;missouri;35383.21178821179
2018;missouri;35358.62878787879
1994;colorado;35354.11807732497
1994;oregon;35329.74319465845
2012;virginia;35293.93741765481
2011;louisiana;35256.30909090909
2013;new jersey;35239.71607378129
1981;minnesota;35223.818181818184
2005;louisiana;35183.11229946524
1988;oregon;35178.0
2011;alabama;35157.180722891564
2014;south carolina;35106.71869639794
1988;wisconsin;35083.454545454544
2001;alabama;35060.90909090909
1999;alabama;35058.0
1979;arizona;35000.90909090909
1996;oregon;34934.247885835095
2000;massachusetts;34934.07079303675
1981;alabama;34878.90909090909
1985;wisconsin;34872.36363636364
1998;minnesota;34764.320747800586
1986;oregon;34734.0
2010;louisiana;34711.85314685315
1989;minnesota;34691.09090909091
2012;alabama;34650.27272727273
1989;alabama;34649.63636363636
1980;alabama;34638.36363636364
2013;louisiana;34624.719696969696
2020;colorado;34623.83831168831
2012;maryland;34618.61558441559
2016;louisiana;34603.3965034965
1997;wisconsin;34570.93636363636
1987;oregon;34515.454545454544
2020;missouri;34514.630882558304
2015;south carolina;34455.17727272727
1983;arizona;34433.09090909091
1988;south carolina;34373.27272727273
2016;south carolina;34346.57878787879
2013;virginia;34301.27937915743
1988;alabama;34229.27272727273
1983;tennessee;34172.0
2004;massachusetts;34117.38293550025
2010;alabama;34035.99043062201
2013;maryland;33954.37789661319
2017;south carolina;33938.24134199134
1996;oklahoma;33928.86527929901
2001;colorado;33888.52741702742
2017;louisiana;33878.61255411255
1981;oregon;33866.72727272727
2006;massachusetts;33848.50189393939
2008;massachusetts;33829.57792207792
1988;minnesota;33780.36363636364
2014;louisiana;33758.58585858586
2017;indiana;33745.065604498595
2012;louisiana;33730.454545454544
1998;oregon;33696.35823582359
2010;massachusetts;33679.92980437284
1998;wisconsin;33653.27272727273
1982;minnesota;33474.545454545456
2020;michigan;33427.646960256774
